test_id,timestamp,speech_to_first_response_ms,speech_to_tts_start_ms,total_response_time_ms,prompt,success,timeout
1,2025-09-30T03:37:21.014153,2690.8278465270996,5921.214580535889,10982.436656951904,unknown,True,False
2,2025-09-30T03:37:40.682417,3187.286853790283,5595.566749572754,12644.444227218628,unknown,True,False
3,2025-09-30T03:38:41.033778,6447.282314300537,17039.560556411743,53327.189922332764,unknown,True,False
4,2025-09-30T03:39:04.092544,2640.913486480713,6118.236541748047,16023.167371749878,unknown,True,False
5,2025-09-30T03:39:35.802799,4280.14349937439,8386.327266693115,24687.095880508423,unknown,True,False
